fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2022-10-20,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"22,3","0,0","20,5",06:21,"24,1",15:05,82.0,89.0,Varias,70.0,23:30
2022-10-21,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"23,5","0,0","20,8",Varias,"26,2",13:31,68.0,81.0,23:50,60.0,15:40
2022-10-22,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"23,2","0,0","19,8",03:25,"26,5",13:08,54.0,81.0,00:00,41.0,13:00
2022-10-23,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"22,8","0,0","19,7",Varias,"25,9",14:04,78.0,85.0,23:59,60.0,13:50
2022-10-24,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"23,3","0,0","19,7",02:18,"26,9",12:13,58.0,88.0,02:30,44.0,16:50
2022-10-25,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"22,1","0,0","18,8",06:27,"25,4",12:19,75.0,87.0,23:59,55.0,10:00
2022-10-26,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"22,6","0,0","19,5",04:46,"25,6",13:06,83.0,91.0,Varias,66.0,11:20
2022-10-27,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"19,8","0,0","18,1",06:14,"21,6",14:08,84.0,92.0,Varias,76.0,08:20
2022-10-28,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"19,6","0,0","17,0",06:01,"22,1",14:10,84.0,93.0,05:40,77.0,13:00
2022-10-29,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"18,0","0,0","15,5",02:47,"20,6",14:06,84.0,91.0,Varias,73.0,02:50
2022-10-30,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"19,6","0,0","16,6",06:03,"22,6",13:55,82.0,90.0,00:00,71.0,Varias
2022-10-31,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"20,2","0,0","17,6",05:17,"22,8",13:26,84.0,90.0,Varias,74.0,13:00
2022-11-01,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"20,2","0,0","18,0",23:54,"22,5",10:30,79.0,88.0,01:30,59.0,10:20
2022-11-02,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"19,6","0,2","17,3",Varias,"21,8",13:42,71.0,86.0,Varias,57.0,12:30
2022-11-03,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"19,8","0,0","16,8",Varias,"22,9",11:49,70.0,87.0,Varias,55.0,17:10
2022-11-04,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"17,6","0,0","13,8",06:59,"21,4",14:50,44.0,65.0,00:00,31.0,14:00
