fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2023-07-09,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"25,8","0,0","23,2",23:00,"28,5",12:40,11.0,"3,1","6,1",23:20,85,93,Varias,71,12:20
2023-07-10,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"26,1","0,0","23,3",,"28,9",15:20,14.0,"2,2","5,3",12:10,84,93,Varias,79,07:30
2023-07-11,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"27,0","0,0","24,3",02:00,"29,6",14:00,2.0,"2,2","7,5",05:30,88,93,Varias,78,06:30
2023-07-12,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"26,6","0,0","24,5",05:50,"28,7",14:10,10.0,"3,3","9,7",01:50,86,93,Varias,77,13:40
2023-07-13,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"26,4","0,0","24,6",23:59,"28,2",07:30,99.0,"4,7","10,0",11:50,80,90,19:40,64,12:30
2023-07-14,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"26,9","0,0","24,4",04:10,"29,4",14:30,21.0,"4,7","13,3",14:40,81,91,12:10,63,17:00
2023-07-15,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"26,3","0,0","24,2",04:40,"28,4",17:40,21.0,"3,6","8,9",16:30,85,92,Varias,78,17:40
2023-07-16,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"26,2","0,0","24,3",04:50,"28,2",10:20,12.0,"4,2","11,4",00:20,74,92,00:00,65,09:40
2023-07-17,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"26,8","0,0","24,1",02:10,"29,4",13:50,99.0,"2,8","5,8",Varias,75,91,Varias,54,13:40
2023-07-18,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"27,5","0,0","24,0",04:50,"31,0",16:40,24.0,"3,3","9,2",15:10,83,93,Varias,57,18:30
2023-07-19,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"27,4","0,0","25,0",05:00,"29,7",13:20,9.0,"3,1","8,6",01:40,85,93,Varias,79,13:10
2023-07-20,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"26,9","0,0","24,9",04:50,"28,9",08:30,20.0,"4,4","8,9",11:10,84,91,22:00,61,15:50
2023-07-21,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"26,0","0,0","24,7",21:00,"27,2",07:40,19.0,"4,2","8,3",12:30,84,91,Varias,72,03:10
2023-07-22,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"26,6","0,0","24,7",04:20,"28,4",13:10,14.0,"3,3","7,2",09:20,72,89,23:50,65,06:30
2023-07-23,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"26,4","0,0","24,0",04:00,"28,7",16:00,20.0,"3,3","6,9",13:50,85,91,Varias,78,16:00
2023-07-24,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"27,4","0,0","25,2",03:40,"29,7",09:10,13.0,"4,7","8,9",12:20,87,91,Varias,69,08:20
2023-07-25,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"27,4","0,7","23,1",23:40,"31,7",17:40,9.0,"4,7","16,7",19:10,54,90,Varias,31,17:30
2023-07-26,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"24,0","0,0","22,5",06:40,"25,6",14:50,12.0,"3,3","9,2",00:30,71,89,Varias,55,Varias
2023-07-27,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"25,2","2,1","22,3",04:10,"28,0",15:50,33.0,"4,7","11,9",21:10,82,90,Varias,63,22:00
2023-07-28,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"24,9","0,0","21,9",04:30,"27,9",10:00,21.0,"4,2","8,3",16:30,80,90,Varias,70,Varias
2023-07-29,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"26,4","0,0","24,2",04:50,"28,6",16:50,24.0,"5,3","11,4",17:30,87,92,22:40,83,16:00
2023-07-30,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"27,0","0,0","24,2",23:30,"29,9",10:50,19.0,"3,6","6,1",13:40,80,93,Varias,73,17:20
2023-07-31,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"25,6","0,0","23,9",04:50,"27,2",11:30,20.0,"5,0","10,3",14:20,87,91,Varias,64,03:00
2023-08-01,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"27,2","0,0","24,8",21:00,"29,6",14:50,9.0,"4,2","11,4",17:50,83,93,Varias,62,11:00
2023-08-02,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"27,4","0,0","24,3",04:50,"30,4",13:40,99.0,"5,6","13,1",Varias,83,93,Varias,70,12:40
2023-08-03,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"24,6","1,5","22,9",23:59,"26,3",00:20,11.0,"4,7","11,4",03:00,80,93,Varias,70,23:00
2023-08-04,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"22,7","0,0","19,4",05:10,"26,0",16:40,19.0,"4,7","10,0",00:40,55,91,Varias,41,09:20
2023-08-05,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"24,2","1,6","21,3",05:30,"27,1",10:00,20.0,"5,8","10,0",15:20,56,73,23:20,41,08:40
2023-08-06,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"23,0","7,4","21,0",08:00,"25,0",13:00,13.0,"4,4","9,2",13:50,82,89,08:00,70,00:00
2023-08-07,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"23,5","0,0","22,2",05:20,"24,8",09:20,21.0,"5,3","11,9",12:30,71,85,22:10,65,08:30
2023-08-08,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"24,8","0,0","22,1",05:00,"27,4",16:50,22.0,"3,9","10,8",15:00,79,86,Varias,70,18:20
2023-08-09,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"25,8","0,0","23,6",05:30,"27,9",08:40,22.0,"4,7","9,7",16:30,84,90,Varias,76,08:40
2023-08-10,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"27,2","0,0","24,6",Varias,"29,7",13:50,11.0,"2,2","8,3",13:50,77,91,09:30,59,16:30
2023-08-11,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"26,7","0,0","23,8",05:00,"29,6",08:40,21.0,"3,6","9,7",13:50,76,90,Varias,58,07:40
2023-08-12,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"26,6","0,0","24,5",04:20,"28,6",13:30,7.0,"3,9","6,1",05:10,89,93,05:10,72,03:00
2023-08-13,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"26,2","0,0","23,7",05:00,"28,8",11:50,19.0,"2,2","5,3",13:10,86,92,03:40,79,12:10
2023-08-14,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"26,9","0,0","23,7",05:00,"30,1",14:50,14.0,"2,5","6,1",11:30,82,91,Varias,71,14:30
2023-08-15,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"27,2","0,0","24,3",04:00,"30,0",14:00,10.0,"3,1","6,1",11:00,85,92,19:50,71,04:10
2023-08-16,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"26,0","0,0","23,8",05:30,"28,1",16:00,8.0,"3,9","8,3",20:40,89,92,Varias,76,02:50
2023-08-17,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"26,2","0,0","24,1",05:00,"28,2",11:50,10.0,"8,3","11,4",09:50,88,92,Varias,83,11:40
2023-08-18,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"26,6","0,0","23,8",05:00,"29,5",10:30,99.0,"2,5","5,3",10:50,84,92,Varias,71,08:10
2023-08-19,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"27,6","0,0","25,0",05:20,"30,1",13:50,13.0,"2,5","5,8",10:40,85,92,Varias,78,13:20
2023-08-20,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"28,6","0,0","25,2",05:20,"32,1",17:00,99.0,"1,9","5,8",10:50,72,91,Varias,52,16:50
2023-08-21,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"29,7","0,0","26,6",01:40,"32,8",11:00,16.0,"1,7","4,7",13:10,72,92,23:59,58,08:30
2023-08-22,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"29,0","0,0","26,0",03:20,"32,0",12:00,26.0,"2,2","5,0",22:00,85,92,Varias,45,19:40
2023-08-23,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"30,4","0,0","27,2",04:10,"33,7",09:20,15.0,"2,2","5,0",12:50,72,89,15:40,53,19:10
2023-08-24,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"29,4","0,0","27,0",04:30,"31,7",09:30,20.0,"5,0","8,9",13:30,84,92,Varias,68,00:10
2023-08-25,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"28,4","0,0","26,9",Varias,"29,9",10:00,21.0,"4,4","8,1",15:20,86,91,Varias,83,12:30
2023-08-26,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"25,7","18,4","22,1",18:40,"29,3",14:00,18.0,"2,8","10,6",20:10,86,94,02:20,66,16:40
2023-08-27,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"21,8","16,9","17,4",18:00,"26,1",03:00,8.0,"1,9","22,2",11:10,84,94,07:20,56,23:59
2023-08-28,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"24,0","0,0","18,3",06:00,"29,7",15:00,8.0,"5,3","14,2",17:40,61,81,18:50,34,14:30
2023-08-29,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"21,6","40,2","17,2",23:40,"26,1",09:40,17.0,"5,0","23,3",23:30,70,93,23:20,43,09:40
2023-08-30,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"21,6","1,8","18,8",03:10,"24,4",12:50,9.0,"3,9","15,8",03:00,85,93,Varias,75,10:30
2023-08-31,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"23,5","0,0","20,5",06:00,"26,5",09:50,22.0,"3,6","8,6",16:50,67,92,05:10,49,14:50
2023-09-01,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"24,0","0,0","20,9",05:30,"27,2",08:40,21.0,"4,4","10,0",11:50,84,90,Varias,73,08:20
2023-09-02,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"24,2","0,0","22,8",21:40,"25,7",08:30,8.0,"8,3","14,7",20:20,84,90,Varias,79,13:00
2023-09-03,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"25,0","0,0","22,6",07:20,"27,3",13:20,9.0,"11,4","16,7",15:40,70,86,00:00,52,21:50
