id,code,date,longitude,latitude,ref_system,nuts0_id,nuts0_name,nuts3_id,nuts3_name,lau_id,lau_name,type,validation,category,ai value,larvae,bite_count,bite_location,bite_time,map_link,Fecha
4480e0f5-ca15-43c5-ae4e-f2c3c8a5f651,XE7W,2022-05-31 10:52:37.524508+00:00,2.1722548,41.4224396,WGS84,ES,España,ES511,Barcelona,ES_08019,Barcelona,site,1,storm_drain_water,,,,,,https://map.mosquitoalert.com/4480e0f5-ca15-43c5-ae4e-f2c3c8a5f651,2022-05-31
7c6d4b0c-e3bf-454c-a631-58bd9ccde665,D44M,2021-05-26 07:15:12.198932+00:00,2.13431231304714,41.3982628254817,WGS84,ES,España,ES511,Barcelona,ES_08019,Barcelona,site,1,storm_drain_dry,,,,,,https://map.mosquitoalert.com/7c6d4b0c-e3bf-454c-a631-58bd9ccde665,2021-05-26
8f508603-e3c8-4744-bf89-544d2390fa4d,m601,2021-05-26 06:51:50.457342+00:00,2.1393944,41.3992644,WGS84,ES,España,ES511,Barcelona,ES_08019,Barcelona,site,1,storm_drain_dry,,,,,,https://map.mosquitoalert.com/8f508603-e3c8-4744-bf89-544d2390fa4d,2021-05-26
6a14cfb4-305a-48a1-8891-86cf74a2bcb2,97we,2023-05-15 11:59:44.696192+00:00,2.199553,41.4477342,WGS84,ES,España,ES511,Barcelona,ES_08019,Barcelona,site,1,storm_drain_dry,,,,,,https://map.mosquitoalert.com/6a14cfb4-305a-48a1-8891-86cf74a2bcb2,2023-05-15
5bae7387-fc40-4873-81a7-8facab233277,MhOF,2023-05-16 08:00:34.835636+00:00,2.1969793,41.4215899,WGS84,ES,España,ES511,Barcelona,ES_08019,Barcelona,site,1,storm_drain_dry,,,,,,https://map.mosquitoalert.com/5bae7387-fc40-4873-81a7-8facab233277,2023-05-16
08df0c2f-3509-4824-b467-cb50f2d0bdbe,m27E,2021-04-28 07:25:56.290694+00:00,2.1761885,41.4180836,WGS84,ES,España,ES511,Barcelona,ES_08019,Barcelona,site,1,storm_drain_dry,,,,,,https://map.mosquitoalert.com/08df0c2f-3509-4824-b467-cb50f2d0bdbe,2021-04-28
5a4ad9e2-fb17-4c8e-b65b-eea5206be0b0,cCzh,2023-05-09 10:55:14.785796+00:00,2.1426692,41.4304378,WGS84,ES,España,ES511,Barcelona,ES_08019,Barcelona,site,1,storm_drain_water,,,,,,https://map.mosquitoalert.com/5a4ad9e2-fb17-4c8e-b65b-eea5206be0b0,2023-05-09
63f1d894-30fa-4cd0-9a11-e878fee83787,0000,2023-05-09 11:01:50.192487+00:00,2.1462188,41.4311725,WGS84,ES,España,ES511,Barcelona,ES_08019,Barcelona,site,1,storm_drain_water,,,,,,https://map.mosquitoalert.com/63f1d894-30fa-4cd0-9a11-e878fee83787,2023-05-09
d48ac549-34fb-403f-b662-a6f2daa29e31,3P8M,2023-05-15 11:57:36.733198+00:00,2.1995113,41.4476572,WGS84,ES,España,ES511,Barcelona,ES_08019,Barcelona,site,1,storm_drain_dry,,,,,,https://map.mosquitoalert.com/d48ac549-34fb-403f-b662-a6f2daa29e31,2023-05-15
3850cfac-8f8e-4003-a0c1-dd48c45f25de,Hx2X,2023-05-24 08:26:05.262288+00:00,2.1693468,41.4084548,WGS84,ES,España,ES511,Barcelona,ES_08019,Barcelona,site,1,storm_drain_water,,,,,,https://map.mosquitoalert.com/3850cfac-8f8e-4003-a0c1-dd48c45f25de,2023-05-24
